Id;Identificador;Empaquetado;Cantidad;Identificación;Suministrador y ref
1;U10,U12;SOIC127P1031X264-16N;2;MLX91221KDF-ABF-050-SP;
2;R20,R29;RESC3216X65N;2;2k;
3;R39,R30,R40,R48,R42,R43,R49,R2,R32,R31,R41;RESC2012X60N;11;499k;
4;J12;RHDR5W50P0X200_1X5_1050X240X440P;1;M22-7130542;
5;D2,D1;DIOM1613X100N;2;SD0805S020S1R0;
6;C9,C4,C12,C3,C8,C13,C2,C1,C14;CAPC2012X145N;9;1uF;
7;C20,C18,C17,C15;CAPC3216X175N;4;47nF;
8;R16,R22,R21,R25,R18,R12,R26,R24,R15,R17,R27,R13,R28,R23,R19,R14;RESC6332X70N;16;2M;
9;U7,U8;SOT95P285X140-5N;2;AP7366-W5-7;
10;J6;TB002V50002BE;1;TB002V-500-02BE;
11;U5,U6;CONV_PDSE2-S24-S5-M;2;PDSE2-S24-S5-M;
12;U4,U3,U1,U2;SCT3105KRC14;4;SCT3105KRC14;
13;C28,C24,C26,C22,C27,C25,C29,C23;CAPC1005X55N;8;100nF;
14;C11,C7,C10;S103M69Z5UP63K7R;3;0.01uF;
15;R44,R35,R47,R34,R33,R6,R3,R36,R46,R45;RESC2012X50N;10;120k;
16;H4,H3,H1,H2;WAT247101E;4;WA-T247-101E;
17;R4,R1;RESC2012X60N;2;56k;
18;C16,C19;CAPC2012X94N;2;4.7nF;
19;R5;RESC2012X50N;1;270k;
20;C5,C6;CAPC3116X180N;2;2.2uF;
21;U11,U13;DIP762W65P254L980H470Q8N;2;ACPL-790B-300E;
22;J2,J3,J4,J1;SQT-102-01-XX-S;4;SQT-102-01-F-S;
23;J5,J7;1594460000;2;1594460000;
24;J8,J10,J11,J9;CONBNC002;4;CONBNC002;
25;C21;C2225_DCLINK;1;DC-link;
26;R37,R38;ERJUP3_330k;2;330k;
27;U9;CONV_PEM2-S24-D12-S;1;PEM2-S24-D12-S;
28;U15,U14;SOIC127P600X175-14N_TL074;2;TL074CDT;
29;L1;L_Toroid_Horizontal_D69.1mm_P63.20mm_Vishay_TJ9;1;2.2mH;
30;R9,R7,R50,R11,R10,R8;RESC2012X60N;6;10k;
