"Source:","C:\Users\56932\Documents\KiCad\PCB_Hbridge_v2\PCB_Hbridge\PCB_Hbridge.kicad_sch"
"Date:","01-02-2023 16:41:28"
"Tool:","Eeschema (6.0.10)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","104"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","Description","Height","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Path Number","Mouser Price/Stock","PACKAGE","PARTREV","PRICE","STANDARD"
"","","C1","1uF","PCB_Hbridge:1uF","PCB_Hbridge:CAPC2012X145N_01uF","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_HiCap_X7R_0.pdf","","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0805 10% AEC-Q200","1.45","","","","","YAGEO","AC0805KFX7R9BB105","","","","","","",""
"","","C2","1uF","PCB_Hbridge:1uF","PCB_Hbridge:CAPC2012X145N_01uF","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_HiCap_X7R_0.pdf","","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0805 10% AEC-Q200","1.45","","","","","YAGEO","AC0805KFX7R9BB105","","","","","","",""
"","","C3","1uF","PCB_Hbridge:1uF","PCB_Hbridge:CAPC2012X145N_01uF","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_HiCap_X7R_0.pdf","","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0805 10% AEC-Q200","1.45","","","","","YAGEO","AC0805KFX7R9BB105","","","","","","",""
"","","C4","1uF","PCB_Hbridge:1uF","PCB_Hbridge:CAPC2012X145N_01uF","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_HiCap_X7R_0.pdf","","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0805 10% AEC-Q200","1.45","","","","","YAGEO","AC0805KFX7R9BB105","","","","","","",""
"","","C5","2.2uF","PCB_Hbridge:2.2uF","PCB_Hbridge:CAPC3116X180N_2_2uF","https://psearch.en.murata.com/capacitor/product/GCM31CR71H225KA55%23.html","","","Capacitor GCM31 L=3.2mm W=1.6mm T=1.6mm","1.8","","","","","Murata Electronics","GCM31CR71H225KA55K","81-GCM31CR71H225KA5K","","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GCM31CR71H225KA55K?qs=Er06SXQpt%252B4Wl7IFhiz7sg%3D%3D","","","",""
"","","C6","2.2uF","PCB_Hbridge:2.2uF","PCB_Hbridge:CAPC3116X180N_2_2uF","https://psearch.en.murata.com/capacitor/product/GCM31CR71H225KA55%23.html","","","Capacitor GCM31 L=3.2mm W=1.6mm T=1.6mm","1.8","","","","","Murata Electronics","GCM31CR71H225KA55K","81-GCM31CR71H225KA5K","","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GCM31CR71H225KA55K?qs=Er06SXQpt%252B4Wl7IFhiz7sg%3D%3D","","","",""
"","","C7","0.01uF","Device:C","PCB_Hbridge:S103M69Z5UP63K7R","~","","","","","","","","","","","","","","","","",""
"","","C8","1uF","PCB_Hbridge:1uF","PCB_Hbridge:CAPC2012X145N_01uF","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_HiCap_X7R_0.pdf","","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0805 10% AEC-Q200","1.45","","","","","YAGEO","AC0805KFX7R9BB105","","","","","","",""
"","","C9","1uF","PCB_Hbridge:1uF","PCB_Hbridge:CAPC2012X145N_01uF","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_HiCap_X7R_0.pdf","","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0805 10% AEC-Q200","1.45","","","","","YAGEO","AC0805KFX7R9BB105","","","","","","",""
"","","C10","0.01uF","Device:C","PCB_Hbridge:S103M69Z5UP63K7R","~","","","","","","","","","","","","","","","","",""
"","","C11","0.01uF","Device:C","PCB_Hbridge:S103M69Z5UP63K7R","~","","","","","","","","","","","","","","","","",""
"","","C12","1uF","PCB_Hbridge:1uF","PCB_Hbridge:CAPC2012X145N_01uF","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_HiCap_X7R_0.pdf","","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0805 10% AEC-Q200","1.45","","","","","YAGEO","AC0805KFX7R9BB105","","","","","","",""
"","","C13","1uF","PCB_Hbridge:1uF","PCB_Hbridge:CAPC2012X145N_01uF","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_HiCap_X7R_0.pdf","","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0805 10% AEC-Q200","1.45","","","","","YAGEO","AC0805KFX7R9BB105","","","","","","",""
"","","C14","1uF","PCB_Hbridge:1uF","PCB_Hbridge:CAPC2012X145N_01uF","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_HiCap_X7R_0.pdf","","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0805 10% AEC-Q200","1.45","","","","","YAGEO","AC0805KFX7R9BB105","","","","","","",""
"","","C15","47nF","PCB_Hbridge:47nF","PCB_Hbridge:CAPC3216X175N_47nF","https://content.kemet.com/datasheets/KEM_C1080_C0G_HV_AUTO_SMD.pdf","","","SMD Auto C0G HV, Ceramic, 560 pF, 10%, 1000 VDC, 1200 VDC, 125C, -55C, C0G, SMD, MLCC, Ultra-Stable, Low Loss, High Voltage, Automotive Grade, 0.1 % , 100 GOhms, 36 mg, 1206, 3.2mm, 1.6mm, 1.6mm, 0.5mm, 2000, 78  Weeks, 120","1.75","","","","","KEMET","C1206C561KDGACAUTO","80-C1206C561KDGAUTO","","https://www.mouser.co.uk/ProductDetail/KEMET/C1206C561KDGACAUTO?qs=MyNHzdoqoQL%252BgGDPneTOTA%3D%3D","","","",""
"","","C16","4.7nF","PCB_Hbridge:4.7nF","PCB_Hbridge:CAPC2012X94N_4_7nF","","","","Capacitor 0805 4700PF +/-10% 10V","","","","","","AVX","0805ZC472KAT2A","581-0805ZC472KAT2A","","https://www.mouser.co.uk/ProductDetail/AVX/0805ZC472KAT2A?qs=TtQHvclPtw6GN1UAHPJ7fQ%3D%3D","","","",""
"","","C17","47nF","PCB_Hbridge:47nF","PCB_Hbridge:CAPC3216X175N_47nF","https://content.kemet.com/datasheets/KEM_C1080_C0G_HV_AUTO_SMD.pdf","","","SMD Auto C0G HV, Ceramic, 560 pF, 10%, 1000 VDC, 1200 VDC, 125C, -55C, C0G, SMD, MLCC, Ultra-Stable, Low Loss, High Voltage, Automotive Grade, 0.1 % , 100 GOhms, 36 mg, 1206, 3.2mm, 1.6mm, 1.6mm, 0.5mm, 2000, 78  Weeks, 120","1.75","","","","","KEMET","C1206C561KDGACAUTO","80-C1206C561KDGAUTO","","https://www.mouser.co.uk/ProductDetail/KEMET/C1206C561KDGACAUTO?qs=MyNHzdoqoQL%252BgGDPneTOTA%3D%3D","","","",""
"","","C18","47nF","PCB_Hbridge:47nF","PCB_Hbridge:CAPC3216X175N_47nF","https://content.kemet.com/datasheets/KEM_C1080_C0G_HV_AUTO_SMD.pdf","","","SMD Auto C0G HV, Ceramic, 560 pF, 10%, 1000 VDC, 1200 VDC, 125C, -55C, C0G, SMD, MLCC, Ultra-Stable, Low Loss, High Voltage, Automotive Grade, 0.1 % , 100 GOhms, 36 mg, 1206, 3.2mm, 1.6mm, 1.6mm, 0.5mm, 2000, 78  Weeks, 120","1.75","","","","","KEMET","C1206C561KDGACAUTO","80-C1206C561KDGAUTO","","https://www.mouser.co.uk/ProductDetail/KEMET/C1206C561KDGACAUTO?qs=MyNHzdoqoQL%252BgGDPneTOTA%3D%3D","","","",""
"","","C19","4.7nF","PCB_Hbridge:4.7nF","PCB_Hbridge:CAPC2012X94N_4_7nF","","","","Capacitor 0805 4700PF +/-10% 10V","","","","","","AVX","0805ZC472KAT2A","581-0805ZC472KAT2A","","https://www.mouser.co.uk/ProductDetail/AVX/0805ZC472KAT2A?qs=TtQHvclPtw6GN1UAHPJ7fQ%3D%3D","","","",""
"","","C20","47nF","PCB_Hbridge:47nF","PCB_Hbridge:CAPC3216X175N_47nF","https://content.kemet.com/datasheets/KEM_C1080_C0G_HV_AUTO_SMD.pdf","","","SMD Auto C0G HV, Ceramic, 560 pF, 10%, 1000 VDC, 1200 VDC, 125C, -55C, C0G, SMD, MLCC, Ultra-Stable, Low Loss, High Voltage, Automotive Grade, 0.1 % , 100 GOhms, 36 mg, 1206, 3.2mm, 1.6mm, 1.6mm, 0.5mm, 2000, 78  Weeks, 120","1.75","","","","","KEMET","C1206C561KDGACAUTO","80-C1206C561KDGAUTO","","https://www.mouser.co.uk/ProductDetail/KEMET/C1206C561KDGACAUTO?qs=MyNHzdoqoQL%252BgGDPneTOTA%3D%3D","","","",""
"","","D1","SD0805S020S1R0","PCB_Hbridge:SD0805S020S1R0","PCB_Hbridge:DIOM1613X100N","https://componentsearchengine.com/Datasheets/1/SD0805S020S1R0.pdf","","","AVX - SD0805S020S1R0 - DIODE, SCHOTTKY, 1A, 20V, SOD-323","1","","","","","AVX","SD0805S020S1R0","581-SD0805S020S1R0","","https://www.mouser.co.uk/ProductDetail/AVX-Kyocera/SD0805S020S1R0?qs=jCA%252BPfw4LHbpkAoSnwrdjw%3D%3D","","","",""
"","","D2","SD0805S020S1R0","PCB_Hbridge:SD0805S020S1R0","PCB_Hbridge:DIOM1613X100N","https://componentsearchengine.com/Datasheets/1/SD0805S020S1R0.pdf","","","AVX - SD0805S020S1R0 - DIODE, SCHOTTKY, 1A, 20V, SOD-323","1","","","","","AVX","SD0805S020S1R0","581-SD0805S020S1R0","","https://www.mouser.co.uk/ProductDetail/AVX-Kyocera/SD0805S020S1R0?qs=jCA%252BPfw4LHbpkAoSnwrdjw%3D%3D","","","",""
"","","H1","WA-T247-101E","PCB_Hbridge:WA-T247-101E","PCB_Hbridge:WAT247101E","https://www.ohmite.com/assets/docs/sink_w.pdf?r=false","","","Heatsink, TEH100 Ohmite Resistor Series, TEH70 Ohmite Resistor Series, TO-247, 11C/W, 43.4 x 23.4 x 32mm, Vertical","31","","","","","Ohmite","WA-T247-101E","588-WA-T247-101E","","https://www.mouser.co.uk/ProductDetail/Ohmite/WA-T247-101E?qs=TVIBDWOgMcWKH4aeLeQEMg%3D%3D","","","",""
"","","H2","WA-T247-101E","PCB_Hbridge:WA-T247-101E","PCB_Hbridge:WAT247101E","https://www.ohmite.com/assets/docs/sink_w.pdf?r=false","","","Heatsink, TEH100 Ohmite Resistor Series, TEH70 Ohmite Resistor Series, TO-247, 11C/W, 43.4 x 23.4 x 32mm, Vertical","31","","","","","Ohmite","WA-T247-101E","588-WA-T247-101E","","https://www.mouser.co.uk/ProductDetail/Ohmite/WA-T247-101E?qs=TVIBDWOgMcWKH4aeLeQEMg%3D%3D","","","",""
"","","H3","WA-T247-101E","PCB_Hbridge:WA-T247-101E","PCB_Hbridge:WAT247101E","https://www.ohmite.com/assets/docs/sink_w.pdf?r=false","","","Heatsink, TEH100 Ohmite Resistor Series, TEH70 Ohmite Resistor Series, TO-247, 11C/W, 43.4 x 23.4 x 32mm, Vertical","31","","","","","Ohmite","WA-T247-101E","588-WA-T247-101E","","https://www.mouser.co.uk/ProductDetail/Ohmite/WA-T247-101E?qs=TVIBDWOgMcWKH4aeLeQEMg%3D%3D","","","",""
"","","H4","WA-T247-101E","PCB_Hbridge:WA-T247-101E","PCB_Hbridge:WAT247101E","https://www.ohmite.com/assets/docs/sink_w.pdf?r=false","","","Heatsink, TEH100 Ohmite Resistor Series, TEH70 Ohmite Resistor Series, TO-247, 11C/W, 43.4 x 23.4 x 32mm, Vertical","31","","","","","Ohmite","WA-T247-101E","588-WA-T247-101E","","https://www.mouser.co.uk/ProductDetail/Ohmite/WA-T247-101E?qs=TVIBDWOgMcWKH4aeLeQEMg%3D%3D","","","",""
"","","IC1","SCT3105KRC14","PCB_Hbridge:SCT3105KRC14","PCB_Hbridge:SCT3105KRC14","https://www.mouser.cn/datasheet/2/348/sct3105kr-e-1872017.pdf","","","MOSFET 1200V N-CH SIC TRENCH","23.75","","","","","ROHM Semiconductor","SCT3105KRC14","755-SCT3105KRC14","","https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/SCT3105KRC14?qs=XeJtXLiO41TNpuiX4HR%252Bvw%3D%3D","","","",""
"","","IC2","SCT3105KRC14","PCB_Hbridge:SCT3105KRC14","PCB_Hbridge:SCT3105KRC14","https://www.mouser.cn/datasheet/2/348/sct3105kr-e-1872017.pdf","","","MOSFET 1200V N-CH SIC TRENCH","23.75","","","","","ROHM Semiconductor","SCT3105KRC14","755-SCT3105KRC14","","https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/SCT3105KRC14?qs=XeJtXLiO41TNpuiX4HR%252Bvw%3D%3D","","","",""
"","","IC3","SCT3105KRC14","PCB_Hbridge:SCT3105KRC14","PCB_Hbridge:SCT3105KRC14","https://www.mouser.cn/datasheet/2/348/sct3105kr-e-1872017.pdf","","","MOSFET 1200V N-CH SIC TRENCH","23.75","","","","","ROHM Semiconductor","SCT3105KRC14","755-SCT3105KRC14","","https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/SCT3105KRC14?qs=XeJtXLiO41TNpuiX4HR%252Bvw%3D%3D","","","",""
"","","IC4","SCT3105KRC14","PCB_Hbridge:SCT3105KRC14","PCB_Hbridge:SCT3105KRC14","https://www.mouser.cn/datasheet/2/348/sct3105kr-e-1872017.pdf","","","MOSFET 1200V N-CH SIC TRENCH","23.75","","","","","ROHM Semiconductor","SCT3105KRC14","755-SCT3105KRC14","","https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/SCT3105KRC14?qs=XeJtXLiO41TNpuiX4HR%252Bvw%3D%3D","","","",""
"","","IC5","AP7366-W5-7","PCB_Hbridge:AP7366-W5-7","PCB_Hbridge:SOT95P285X140-5N","","","","LDO Voltage Regulators LDO CMOS HiCurr SOT25 T&R 3K","1.4","","","","","Diodes Inc.","AP7366-W5-7","621-AP7366-W5-7","","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/AP7366-W5-7?qs=u16ybLDytRYZFNORrKWMYA%3D%3D","","","",""
"","","IC6","AP7366-W5-7","PCB_Hbridge:AP7366-W5-7","PCB_Hbridge:SOT95P285X140-5N","","","","LDO Voltage Regulators LDO CMOS HiCurr SOT25 T&R 3K","1.4","","","","","Diodes Inc.","AP7366-W5-7","621-AP7366-W5-7","","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/AP7366-W5-7?qs=u16ybLDytRYZFNORrKWMYA%3D%3D","","","",""
"","","IC7","MLX91221KDF-ABF-050-SP","PCB_Hbridge:MLX91221KDF-ABF-050-SP","PCB_Hbridge:SOIC127P1031X264-16N","https://eu.mouser.com/datasheet/2/734/Melexis_MLX91221_Datasheet_Melexis_1-1947405.pdf","","","Board Mount Current Sensors Gen2-InP-CurrentSensor-50AB.FSFixed-3.3V-4.8kVisolation-OCD","2.64","","","","","Melexis","MLX91221KDF-ABF-050-SP","482-91221KDFABF050SP","","https://www.mouser.co.uk/ProductDetail/Melexis/MLX91221KDF-ABF-050-SP?qs=81r%252BiQLm7BTHP3JPhEaSLQ%3D%3D","","","",""
"","","IC8","MLX91221KDF-ABF-050-SP","PCB_Hbridge:MLX91221KDF-ABF-050-SP","PCB_Hbridge:SOIC127P1031X264-16N","https://eu.mouser.com/datasheet/2/734/Melexis_MLX91221_Datasheet_Melexis_1-1947405.pdf","","","Board Mount Current Sensors Gen2-InP-CurrentSensor-50AB.FSFixed-3.3V-4.8kVisolation-OCD","2.64","","","","","Melexis","MLX91221KDF-ABF-050-SP","482-91221KDFABF050SP","","https://www.mouser.co.uk/ProductDetail/Melexis/MLX91221KDF-ABF-050-SP?qs=81r%252BiQLm7BTHP3JPhEaSLQ%3D%3D","","","",""
"","","IC9","ACPL-790B-300E","PCB_Hbridge:ACPL-790B-300E","PCB_Hbridge:DIP762W65P254L980H470Q8N","","","","BROADCOM - ACPL-790B-300E - Optocoupler, Optically Isolated Amplifiers, 1 Channel, Surface Mount DIP, 8 Pins, 5000 Vrms","4.7","","","","","Avago Technologies","ACPL-790B-300E","630-ACPL-790B-300E","","https://www.mouser.co.uk/ProductDetail/Broadcom-Avago/ACPL-790B-300E?qs=jv7ULIbIBgMunF8oouTz%2FA%3D%3D","","","",""
"","","IC10","ACPL-790B-300E","PCB_Hbridge:ACPL-790B-300E","PCB_Hbridge:DIP762W65P254L980H470Q8N","","","","BROADCOM - ACPL-790B-300E - Optocoupler, Optically Isolated Amplifiers, 1 Channel, Surface Mount DIP, 8 Pins, 5000 Vrms","4.7","","","","","Avago Technologies","ACPL-790B-300E","630-ACPL-790B-300E","","https://www.mouser.co.uk/ProductDetail/Broadcom-Avago/ACPL-790B-300E?qs=jv7ULIbIBgMunF8oouTz%2FA%3D%3D","","","",""
"","","IC11","TL074CDT","PCB_Hbridge:TL074CDT","PCB_Hbridge:SOIC127P600X175-14N_TL074","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000489.pdf","","","OP Amp Quad GP +/- 18V SOIC14 STMicroelectronics TL074CDT Quad Operational Amplifier, 3MHz, 14-Pin SO","1.75","","","","","STMicroelectronics","TL074CDT","511-TL074CDT","","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/TL074CDT?qs=MQjo3npP4sAhBVAvwSx1nw%3D%3D","","","",""
"","","IC12","TL074CDT","PCB_Hbridge:TL074CDT","PCB_Hbridge:SOIC127P600X175-14N_TL074","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000489.pdf","","","OP Amp Quad GP +/- 18V SOIC14 STMicroelectronics TL074CDT Quad Operational Amplifier, 3MHz, 14-Pin SO","1.75","","","","","STMicroelectronics","TL074CDT","511-TL074CDT","","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/TL074CDT?qs=MQjo3npP4sAhBVAvwSx1nw%3D%3D","","","",""
"","","J1","SQT-102-01-F-S","PCB_Hbridge:SQT-102-01-F-S","PCB_Hbridge:SQT-102-01-XX-S","http://suddendocs.samtec.com/prints/sqt-1xx-xx-xxx-x-xxx-xxx-mkt.pdf","","","2 Position,Cost Effective Rugged PCB Sockets, 2.00mm pitch","6.35","","","","","SAMTEC","SQT-102-01-F-S","200-SQT10201FS","","https://www.mouser.co.uk/ProductDetail/Samtec/SQT-102-01-F-S?qs=MUwhXXEU1Qsb9k68Fbb2cw%3D%3D","","","",""
"","","J2","SQT-102-01-F-S","PCB_Hbridge:SQT-102-01-F-S","PCB_Hbridge:SQT-102-01-XX-S","http://suddendocs.samtec.com/prints/sqt-1xx-xx-xxx-x-xxx-xxx-mkt.pdf","","","2 Position,Cost Effective Rugged PCB Sockets, 2.00mm pitch","6.35","","","","","SAMTEC","SQT-102-01-F-S","200-SQT10201FS","","https://www.mouser.co.uk/ProductDetail/Samtec/SQT-102-01-F-S?qs=MUwhXXEU1Qsb9k68Fbb2cw%3D%3D","","","",""
"","","J3","SQT-102-01-F-S","PCB_Hbridge:SQT-102-01-F-S","PCB_Hbridge:SQT-102-01-XX-S","http://suddendocs.samtec.com/prints/sqt-1xx-xx-xxx-x-xxx-xxx-mkt.pdf","","","2 Position,Cost Effective Rugged PCB Sockets, 2.00mm pitch","6.35","","","","","SAMTEC","SQT-102-01-F-S","200-SQT10201FS","","https://www.mouser.co.uk/ProductDetail/Samtec/SQT-102-01-F-S?qs=MUwhXXEU1Qsb9k68Fbb2cw%3D%3D","","","",""
"","","J4","SQT-102-01-F-S","PCB_Hbridge:SQT-102-01-F-S","PCB_Hbridge:SQT-102-01-XX-S","http://suddendocs.samtec.com/prints/sqt-1xx-xx-xxx-x-xxx-xxx-mkt.pdf","","","2 Position,Cost Effective Rugged PCB Sockets, 2.00mm pitch","6.35","","","","","SAMTEC","SQT-102-01-F-S","200-SQT10201FS","","https://www.mouser.co.uk/ProductDetail/Samtec/SQT-102-01-F-S?qs=MUwhXXEU1Qsb9k68Fbb2cw%3D%3D","","","",""
"","","J5","1594460000","PCB_Hbridge:1594460000","PCB_Hbridge:1594460000","http://catalog.weidmueller.com/createDatasheetForMobile.do?ordernumber=1594460000&scope1=1&scope2=1&localeId=en","","","Printed circuit board terminals, 7.62 mm, Number of poles: 2, 90, Solder pin length: 3.2 mm, tinned, orange, Clamping yoke connection, Clamping range, max. [rated connection]: 6 mm, Box","17","","","","","Weidmuller","1594460000","470-1594460000","","https://www.mouser.co.uk/ProductDetail/Weidmuller/1594460000?qs=BTG2th8YmhTgI1%252ByENLozQ%3D%3D","","","",""
"","","J6","TB002V-500-02BE","PCB_Hbridge:TB002V-500-02BE","PCB_Hbridge:TB002V50002BE","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/d44ec1123411816df787ccc2d696b161.pdf","","","Fixed Terminal Blocks Terminal block, screw type, 5.00 , vertical, 2 poles, CUI Blue, slotted screw, PCB mount","8","","","","","CUI Devices","TB002V-500-02BE","490-TB002V-500-02BE","","https://www.mouser.co.uk/ProductDetail/CUI-Devices/TB002V-500-02BE?qs=vLWxofP3U2wXHN2%2F5Sa7Iw%3D%3D","","","",""
"","","J7","1594460000","PCB_Hbridge:1594460000","PCB_Hbridge:1594460000","http://catalog.weidmueller.com/createDatasheetForMobile.do?ordernumber=1594460000&scope1=1&scope2=1&localeId=en","","","Printed circuit board terminals, 7.62 mm, Number of poles: 2, 90, Solder pin length: 3.2 mm, tinned, orange, Clamping yoke connection, Clamping range, max. [rated connection]: 6 mm, Box","17","","","","","Weidmuller","1594460000","470-1594460000","","https://www.mouser.co.uk/ProductDetail/Weidmuller/1594460000?qs=BTG2th8YmhTgI1%252ByENLozQ%3D%3D","","","",""
"","","J8","CONBNC002","PCB_Hbridge:CONBNC002","PCB_Hbridge:CONBNC002","https://linxtechnologies.com/wp/wp-content/uploads/conbnc002-ds.pdf","","","RF Connectors / Coaxial Connectors BNC Connector Right Angle Jack, Female Socket 50 Ohm, Through Hole","13.1","","","","","Linx Technologies","CONBNC002","712-CONBNC002","","https://www.mouser.co.uk/ProductDetail/Linx-Technologies/CONBNC002?qs=doiCPypUmgFbIbY%252BDq4BiQ%3D%3D","","","",""
"","","J9","CONBNC002","PCB_Hbridge:CONBNC002","PCB_Hbridge:CONBNC002","https://linxtechnologies.com/wp/wp-content/uploads/conbnc002-ds.pdf","","","RF Connectors / Coaxial Connectors BNC Connector Right Angle Jack, Female Socket 50 Ohm, Through Hole","13.1","","","","","Linx Technologies","CONBNC002","712-CONBNC002","","https://www.mouser.co.uk/ProductDetail/Linx-Technologies/CONBNC002?qs=doiCPypUmgFbIbY%252BDq4BiQ%3D%3D","","","",""
"","","J10","CONBNC002","PCB_Hbridge:CONBNC002","PCB_Hbridge:CONBNC002","https://linxtechnologies.com/wp/wp-content/uploads/conbnc002-ds.pdf","","","RF Connectors / Coaxial Connectors BNC Connector Right Angle Jack, Female Socket 50 Ohm, Through Hole","13.1","","","","","Linx Technologies","CONBNC002","712-CONBNC002","","https://www.mouser.co.uk/ProductDetail/Linx-Technologies/CONBNC002?qs=doiCPypUmgFbIbY%252BDq4BiQ%3D%3D","","","",""
